"Bitcoin Diamond
(BCD)","1.74
USD" 
"CoinPoker
(CHP)","0.009510
USD"
"Aphelion
(APH)","0.047823
USD"
"DAOstack
(GEN)","0.099630
USD"
"Snetwork
(SNET)","0.023961
USD"
"Breakout
(BRK)","0.049828
USD"
"Eroscoin
(ERO)","0.019583
USD"
"LOCIcoin
(LOCI)","0.022387
USD"
"WeTrust
(TRST)","0.027043
USD"
"Bullion
(CBX)","2.08
USD"
"Pluton
(PLU)","1.53
USD"
"BunnyToken
(BUNNY)","0.004347
USD"
"Bela
(BELA)","0.017000
USD"
"nDEX
(NDX)","0.000027
USD"
"AurumCoin
(AU)","13.50
USD"
"Stealth
(XST)","0.105885
USD"
"BoutsPro
(BOUTS)","0.007550
USD"
"Auroracoin
(AUR)","0.159183
USD"
"Xenon
(XNN)","0.001286
USD"
"Silent Notary
(SNTR)","0.000026
USD"
"Welltrado
(WTL)","0.090758
USD"
"FORCE
(FOR)","0.003893
USD"
"ICON
(ICX)","0.702672
USD"
"Lendingblock
(LND)","0.004629
USD"
"Sharpe Platform Token
(SHP)","0.111116
USD"
"BitClave
(CAT)","0.003122
USD"
"CYCLEAN
(CCL)","0.005624
USD"
"Gatcoin
(GAT)","0.003248
USD"
"Project Coin
(PRJ)","0.828829
USD"
"BitBar
(BTB)","5.95
USD"
"CannabisCoin
(CANN)","0.014053
USD"
"OWNDATA
(OWN)","0.000453
USD"
"Advanced Technology Coin
(ARC)","0.013005
USD"
"Anoncoin
(ANC)","1.38
USD"
"AC3
(AC3)","0.037778
USD"
"Peculium
(PCL)","0.001372
USD"
"42-coin
(42)","23098.22
USD"
"APR Coin
(APR)","0.076482
USD"
"Vice Industry Token
(VIT)","0.003455
USD"
"Patientory
(PTOY)","0.032497
USD"
"RusGas
(RGS)","0.000247
USD"
"PeepCoin
(PCN)","0.000011
USD"
"Ergo
(EFYT)","1.92
USD"
"MIB Coin
(MIB)","0.048076
USD"
"SnowGem
(XSG)","0.084562
USD"
"MTC Mesh Network
(MTC)","0.004143
USD"
"Zap
(ZAP)","0.018344
USD"
"Oyster Shell
(SHL)","0.035135
USD"
"Terracoin
(TRC)","0.035098
USD"
"Condominium
(CDM)","0.001403
USD"
"IXT
(IXT)","0.069460
USD"
"ALAX
(ALX)","0.006352
USD"
"Smartshare
(SSP)","0.000799
USD"
"EOS
(EOS)","5.47
USD"
"XcelToken
(XCEL)","0.018797
USD"
"LocalCoinSwap
(LCS)","0.095310
USD"
"Upfiring
(UFR)","0.066485
USD"
"Etheroll
(DICE)","0.440993
USD"
"Ellaism
(ELLA)","0.038778
USD"
"HyperStake
(HYP)","0.000655
USD"
"BitSend
(BSD)","0.151939
USD"
"BitRewards
(BIT)","0.001324
USD"
"BunnyCoin
(BUN)","0.000006
USD"
"MicroMoney
(AMM)","0.034298
USD"
"Datum
(DAT)","0.004089
USD"
"Wispr
(WSP)","0.025173
USD"
"LogisCoin
(LGS)","4.06
USD"
"FarmaTrust
(FTT)","0.002986
USD"
"MNPCoin
(MNP)","0.284620
USD"
"TEAM (TokenStars)
(TEAM)","0.021073
USD"
"AdHive
(ADH)","0.012829
USD"
"EncrypGen
(DNA)","0.044181
USD"
"Qbao
(QBT)","0.050016
USD"
"NPER
(NPER)","0.038105
USD"
"GrandCoin
(GDC)","0.000259
USD"
"Universal Currency
(UNIT)","0.069653
USD"
"Syndicate
(SYNX)","0.057281
USD"
"Swarm City
(SWT)","0.246509
USD"
"ClearPoll
(POLL)","0.370361
USD"
"MedicCoin
(MEDIC)","0.004440
USD"
"Pareto Network
(PARETO)","0.006034
USD"
"RightMesh
(RMESH)","0.059103
USD"
"Relex
(RLX)","0.002632
USD"
"Blocklancer
(LNC)","0.002706
USD"
"Akroma
(AKA)","0.048206
USD"
"AiLink Token
(ALI)","0.000666
USD"
"Forkcoin
(FORK)","0.472729
USD"
"Divi Exchange Token
(DIVX)","0.994665
USD"
"EvenCoin
(EVN)","0.041284
USD"
"Elixir
(ELIX)","0.030213
USD"
"Mao Zedong
(MAO)","0.053981
USD"
"SRCOIN
(SRCOIN)","0.000584
USD"
"Digital Insurance Token
(DIT)","0.002132
USD"
"TrueFlip
(TFL)","0.396550
USD"
"GeoCoin
(GEO)","1.11
USD"
"Ondori
(RSTR)","0.000065
USD"
"Kore
(KORE)","0.466232
USD"
"nUSD
(NUSD)","1.00
USD"
"Newton Coin Project
(NCP)","0.000003
USD"
"Omni
(OMNI)","3.70
USD"
"Alt.Estate token
(ALT)","0.001146
USD"
"Seal Network
(SEAL)","0.002819
USD"
"Equal
(EQL)","0.000790
USD"
"ugChain
 (UGC)","0.006666
USD"
"Bettex Coin
(BTXC)","0.164299
USD"
"More Coin
(MORE)","0.186225
USD"
"Indorse Token
(IND)","0.032050
USD"
"ShareX
(SEXC)","0.000988
USD"
"Kryll
(KRL)","0.079146
USD"
"0xcert
(ZXC)","0.004589
USD"
"EtherGem
(EGEM)","0.032529
USD"
"WorldCoin
(WDC)","0.004801
USD"
"Etheera
(ETA)","0.000305
USD"
"GridCoin
(GRC)","0.010284
USD"
"XDNA
(XDNA)","0.113512
USD"
"Hacken
(HKN)","0.568560
USD"
"ZMINE
(ZMN)","0.023410
USD"
"Sharder
(SS)","0.009735
USD"
"MARK.SPACE
(MRK)","0.006743
USD"
"HiCoin
(XHI)","0.000378
USD"
"InvestFeed
(IFT)","0.011517
USD"
"RealTract
(RET)","0.000259
USD"
"UChain
(UCN)","0.005276
USD"
"VeriumReserve
(VRM)","0.575520
USD"
"Adzcoin
(ADZ)","0.007301
USD"
"HeroNode
(HER)","0.002158
USD"
"Lightpaycoin
(LPC)","0.540812
USD"
"FREE Coin
(FREE)","0.000002
USD"
"Bethereum
(BETHER)","0.004278
USD"
"Proton Token
(PTT)","0.000382
USD"
"Stipend
(SPD)","0.110946
USD"
"Playkey
(PKT)","0.113656
USD"
"Ink Protocol
(XNK)","0.017114
USD"
"Cryptosolartech
(CST)","0.018559
USD"
"ThoreCoin
(THR)","34.34
USD"
"HollyWoodCoin
(HWC)","0.149159
USD"
"LALA World
(LALA)","0.005264
USD"
"Narrative
(NRVE)","0.014911
USD"
"CoinFi
(COFI)","0.012888
USD"
"I/O Coin
(IOC)","0.209564
USD"
"Beetle Coin
(BEET)","0.002113
USD"
"ArbitrageCT
(ARCT)","0.002541
USD"
"DOWCOIN
(DOW)","0.308655
USD"
"Arbidex
(ABX)","0.062306
USD"
"Invacio
(INV)","0.014638
USD"
"OKCash
(OK)","0.031298
USD"
"Soma
(SCT)","0.054484
USD"
"Suretly
(SUR)","1.38
USD"
"Gems
(GEM)","0.003295
USD"
"Bitradio
(BRO)","0.037755
USD"
"Traceability Chain
(TAC)","0.004306
USD"
"adbank
(ADB)","0.003010
USD"
"White Standard
(WSD)","1.01
USD"
"The ChampCoin
(TCC)","0.003385
USD"
"NewYorkCoin
(NYC)","0.000007
USD"
"SunContract
(SNC)","0.033387
USD"
"Dogecoin
(DOGE)","0.004570
USD"
"AudioCoin
(ADC)","0.000988
USD"
"BitStation
(BSTN)","0.000060
USD"
"ATC Coin
(ATCC)","0.019206
USD"
"indaHash
(IDH)","0.006137
USD"
"PyrexCoin
(PYX)","0.063676
USD"
"Dynamic
(DYN)","0.742901
USD"
"VouchForMe
(IPL)","0.010072
USD"
"CommerceBlock
(CBT)","0.010910
USD"
"MyBit
(MYB)","0.023361
USD"
"Tokes
(TKS)","0.493092
USD"
"Solaris
(XLR)","2.03
USD"
"CyberMusic
(CYMT)","0.000034
USD"
"Friendz
(FDZ)","0.003965
USD"
"XGOX
(XGOX)","0.000136
USD"
"Stellar
(XLM)","0.240703
USD"
"Innova
(INN)","0.077986
USD"
"Xriba
(XRA)","0.049107
USD"
"AidCoin
(AID)","0.050465
USD"
"Miners' Reward Token
(MRT)","0.105387
USD"
"Insights Network
(INSTAR)","0.010977
USD"
"BitMart Token
(BMX)","0.027995
USD"
"Rise
(RISE)","0.027330
USD"
"DxChain Token
(DX)","0.000330
USD"
"ACE (TokenStars)
(ACE)","0.059651
USD"
"GoldMint
 (MNTP)","0.501024
USD"
"Trittium
(TRTT)","0.011542
USD"
"ExclusiveCoin
(EXCL)","0.201776
USD"
"BrahmaOS
(BRM)","0.005529
USD"
"Bitcrystals
(BCY)","0.030612
USD"
"Linx
(LINX)","0.007459
USD"
"AICHAIN
(AIT)","0.002215
USD"
"Flixxo
(FLIXX)","0.034221
USD"
"DPRating
(RATING)","0.000659
USD"
"Bitcoin Adult
(BTAD)","0.013881
USD"
"SIMDAQ
(SMQ)","0.026893
USD"
"HEROcoin
(PLAY)","0.011237
USD"
"Zetacoin
(ZET)","0.001978
USD"
"Coinvest
(COIN)","0.227579
USD"
"FlypMe
(FYP)","0.045416
USD"
"Tokia
(TKA)","0.009390
USD"
"Decision Token
(HST)","0.116771
USD"
"Dether
(DTH)","0.018406
USD"
"Payfair
(PFR)","0.010307
USD"
"Magi
(XMG)","0.026315
USD"
"Capricoin
(CPC)","0.937639
USD"
"SportyCo
(SPF)","0.016587
USD"
"Nullex
(NLX)","0.011030
USD"
"Zilla
(ZLA)","0.044140
USD"
"Quantis Network
(QUAN)","0.095180
USD"
"savedroid
(SVD)","0.000752
USD"
"GoNetwork
(GOT)","0.053467
USD"
"SoMee.Social
(ONG)","0.016153
USD"
"AMLT
(AMLT)","0.014891
USD"
"Radium
(RADS)","1.11
USD"
"Ethereum Monero
(EXMR)","0.052482
USD"
"Sphere
(SPHR)","0.538508
USD"
"Global Cryptocurrency
(GCC)","0.001233
USD"
"Autonio
(NIO)","0.032583
USD"
"Maker
(MKR)","683.42
USD"
"Sola Token
(SOL)","0.007097
USD"
"XOVBank
(XOV)","0.003314
USD"
"Lobstex
(LOBS)","0.014321
USD"
"Experty
(EXY)","0.120329
USD"
"RealChain
(RCT)","0.003292
USD"
"CampusCoin
(CMPCO)","0.000717
USD"
"Litecoin Plus
(LCP)","0.066439
USD"
"On.Live
(ONL)","0.068477
USD"
"DeltaChain
(DELTA)","0.000019
USD"
"Fire Lotto
(FLOT)","0.048563
USD"
"Jesus Coin
(JC)","0.000018
USD"
"IQeon
(IQN)","0.195059
USD"
"IGToken
(IG)","0.000120
USD"
"VikkyToken
(VIKKY)","0.000060
USD"
"MyWish
(WISH)","0.049504
USD"
"Digix Gold Token
(DGX)","42.68
USD"
"Hexx
(HXX)","0.786243
USD"
"CryptoFlow
(CFL)","0.011065
USD"
"NuBits
(USNBT)","0.100531
USD"
"Nimiq Exchange Token
(NET)","0.112636
USD"
"Own
(CHX)","0.047637
USD"
"Karbo
(KRB)","0.112381
USD"
"Auxilium
(AUX)","0.003439
USD"
"Bitcoin Plus
(XBC)","4.04
USD"
"XMCT
(XMCT)","0.007175
USD"
"Energycoin
(ENRG)","0.007202
USD"
"Faceter
(FACE)","0.003268
USD"
"Gold Poker
(GPKR)","0.629692
USD"
"Origin Sport
(ORS)","0.018169
USD"
"Amon
(AMN)","0.001580
USD"
"Zoomba
(ZBA)","0.011117
USD"
"Comet
(CMT)","0.021126
USD"
"RussiaCoin
(RC)","0.103542
USD"
"Motocoin
(MOTO)","0.095374
USD"
"Elite
(1337)","0.000061
USD"
"Dorado
(DOR)","0.000836
USD"
"Xchange
(XCG)","0.134880
USD"
"Smoke
(SMOKE)","0.062377
USD"
"VULCANO
(VULC)","0.012208
USD"
"SmartFox
(FOX)","0.448853
USD"
"Voise
(VOISE)","0.001365
USD"
"Neural Protocol
(NRP)","0.000014
USD"
"PlatinumBAR
(XPTX)","0.142607
USD"
"StarterCoin
(STAC)","0.001287
USD"
"Auctus
(AUC)","0.036842
USD"
"KekCoin
(KEK)","0.060695
USD"
"UniCoin
(UNIC)","0.177575
USD"
"Azart
(AZART)","0.016280
USD"
"Lykke
(LKK)","0.033985
USD"
"Proxeus
(XES)","0.015231
USD"
"AsiaCoin
(AC)","0.002141
USD"
"Galactrum
(ORE)","0.236771
USD"
"Morpheus.Network
(MRPH)","0.126155
USD"
"Freyrchain
(FREC)","0.001997
USD"
"Live Stars
(LIVE)","0.011811
USD"
"SagaCoin
(SAGA)","0.058393
USD"
"Wisepass
(PASS)","0.029165
USD"
"Sexcoin
(SXC)","0.002981
USD"
"LatiumX
(LATX)","0.011539
USD"
"Webchain
(WEB)","0.003244
USD"
"Iridium
(IRD)","0.013074
USD"
"Paymon
(PMNT)","0.000860
USD"
"ICOS
(ICOS)","2.74
USD"
"Oceanlab
(OCL)","0.008749
USD"
"Opal
(OPAL)","0.016934
USD"
"Bitzeny
(ZNY)","0.003927
USD"
"BitWhite
(BTW)","0.011748
USD"
"TrumpCoin
(TRUMP)","0.043059
USD"
"Kalkulus
(KLKS)","0.026289
USD"
"AceD
(ACED)","0.057327
USD"
"Minereum
(MNE)","0.020766
USD"
"CFun
(CFUN)","0.000938
USD"
"Niobio Cash
(NBR)","0.002126
USD"
"Netko
(NETKO)","0.033125
USD"
"ShowHand
(HAND)","0.000007
USD"
"Fastcoin
(FST)","0.001298
USD"
"Fantasy Cash
(FANS)","0.015312
USD"
"Pioneer Coin
(PCOIN)","0.006049
USD"
"LiteDoge
(LDOGE)","0.000056
USD"
"2GIVE
(2GIVE)","0.003054
USD"
"DigitalPrice
(DP)","0.017907
USD"
"Pure
(PUREX)","0.016545
USD"
"Onix
(ONX)","0.001557
USD"
"TrakInvest
(TRAK)","0.008401
USD"
"Jetcoin
(JET)","0.030838
USD"
"imbrex
(REX)","0.113324
USD"
"SURETY
(SURE)","0.008334
USD"
"Kubera Coin
(KBR)","0.000953
USD"
"EZToken
(EZT)","0.027849
USD"
"Commercium
(CMM)","0.005515
USD"
"Sugar Exchange
(SGR)","0.010137
USD"
"Bitdeal
(BDL)","0.000802
USD"
"Plancoin
(PLAN)","0.006488
USD"
"BelugaPay
(BBI)","0.026388
USD"
"bitJob
(STU)","0.007518
USD"
"Vezt
(VZT)","0.041361
USD"
"FoodCoin
(FOOD)","0.004671
USD"
"Gapcoin
(GAP)","0.008305
USD"
"Rapids
(RPD)","0.000087
USD"
"Envion
(EVN)","0.038182
USD"
"EuropeCoin
(ERC)","0.109747
USD"
"United Traders Token
(UTT)","0.288078
USD"
"Giant
(GIC)","0.158713
USD"
"VoteCoin
(VOT)","0.005574
USD"
"FlutterCoin
(FLT)","0.000973
USD"
"Cashcoin
(CASH)","0.002631
USD"
"Senderon
(SDRN)","0.002141
USD"
"NobleCoin
(NOBL)","0.000260
USD"
"Universe
(UNI)","0.015124
USD"
"Tigercoin
(TGC)","0.002509
USD"
"Veros
(VRS)","0.018175
USD"
"Crowdholding
(YUP)","0.000870
USD"
"MagicCoin
(MAGE)","0.031208
USD"
"Archetypal Network
(ACTP)","0.000018
USD"
"Blocknode
(BND)","0.003955
USD"
"Bitcoin Scrypt
(BTCS)","0.012068
USD"
"Elysian
(ELY)","0.002170
USD"
"Shekel
(JEW)","0.000703
USD"
"MCAP
(MCAP)","0.006798
USD"
"OBITS
(OBITS)","0.088471
USD"
"VeriME
(VME)","0.002647
USD"
"StarCredits
(STRC)","0.084794
USD"
"HoboNickels
(HBN)","0.003956
USD"
"TrustPlus
(TRUST)","0.007267
USD"
"Bitcloud
(BTDX)","0.013461
USD"
"InsaneCoin
(INSN)","0.008851
USD"
"Piggycoin
(PIGGY)","0.000579
USD"
"Uniform Fiscal Object
(UFO)","0.000260
USD"
"Obsidian
(ODN)","0.004347
USD"
"LanaCoin
(LANA)","0.000324
USD"
"KushCoin
(KUSH)","0.026729
USD"
"Origami
(ORI)","0.049416
USD"
"Block-Chain.com
(BC)","0.156883
USD"
"Zenswap Network Token
(ZNT)","0.000033
USD"
"Renos
(RNS)","0.005580
USD"
"PureVidz
(VIDZ)","0.001038
USD"
"Cryptojacks
(CJ)","0.000195
USD"
"Blockpool
(BPL)","0.037890
USD"
"Kurrent
(KURT)","0.001168
USD"
"Linker Coin
(LNC)","0.026601
USD"
"Ether Kingdoms Token
(IMP)","0.051533
USD"
"CryptoCarbon
(CCRB)","0.024555
USD"
"X8X Token
(X8X)","0.029579
USD"
"GET Protocol
(GET)","0.358597
USD"
"Ethereum Dark
(ETHD)","0.043405
USD"
"Gladius Token
(GLA)","0.073576
USD"
"I0Coin
(I0C)","0.019289
USD"
"Viuly
(VIU)","0.000236
USD"
"BitF
(BITF)","0.034398
USD"
"NetCoin
(NET)","0.000212
USD"
"BuzzCoin
(BUZZ)","0.000034
USD"
"ACRE
(ACRE)","0.018102
USD"
"Dragonglass
(DGS)","0.000843
USD"
"Freicoin
(FRC)","0.006683
USD"
"PAXEX
(PAXEX)","0.006568
USD"
"BlockMesh
(BMH)","0.001622
USD"
"EagleX
(EGX)","0.003244
USD"
"PostCoin
(POST)","0.003374
USD"
"Hush
(HUSH)","0.100565
USD"
"Citadel
(CTL)","0.013106
USD"
"Octoin Coin
(OCC)","0.301857
USD"
"Linfinity
(LFT)","0.034881
USD"
"ICO OpenLedger
(ICOO)","0.248927
USD"
"GoHelpFund
(HELP)","0.022189
USD"
"BlueCoin
(BLU)","0.002271
USD"
"SecretCoin
(SCRT)","0.020437
USD"
"Numus
(NMS)","0.061314
USD"
"Deutsche eMark
(DEM)","0.005457
USD"
"Woodcoin
(LOG)","0.047032
USD"
"CryCash
(CRC)","0.100156
USD"
"Dashcoin
(DSH)","0.016129
USD"
"Rimbit
(RBT)","0.000634
USD"
"Soniq
(SONIQ)","0.034913
USD"
"PHI Token
(PHI)","0.168268
USD"
"DACH Coin
(DACH)","0.032375
USD"
"Litecoin
(LTC)","53.32
USD"
"SpreadCoin
(SPR)","0.019338
USD"
"Talao
(TALAO)","0.082113
USD"
"BitcoiNote
(BTCN)","0.013603
USD"
"PopularCoin
(POP)","0.000066
USD"
"Dix Asset
(DIX)","0.000001
USD"
"QubitCoin
(Q2C)","0.001041
USD"
"FundYourselfNow
(FYN)","0.231227
USD"
"Hubii Network
(HBT)","0.195482
USD"
"ProCurrency
(PROC)","0.001862
USD"
"Regalcoin
(REC)","0.019399
USD"
"Bitblocks
(BBK)","0.002523
USD"
"UltraCoin
(UTC)","0.006488
USD"
"BowsCoin
(BSC)","0.002790
USD"
"Quatloo
(QTL)","0.010251
USD"
"CryptoPing
(PING)","0.059348
USD"
"Knekted
(KNT)","0.000956
USD"
"E-coin
(ECN)","1.94
USD"
"UCOM
(UCOM)","0.077692
USD"
"Pandacoin
(PND)","0.000122
USD"
"Quark
(QRK)","0.007072
USD"
"Master Swiscoin
(MSCN)","0.001040
USD"
"Advanced Internet Blocks
(AIB)","0.012539
USD"
"300 Token
(300)","194.00
USD"
"Phoenixcoin
(PXC)","0.002985
USD"
"Simmitri
(SIM)","0.094198
USD"
"smARTOFGIVING
(AOG)","0.104492
USD"
"EUNO
(EUNO)","0.015506
USD"
"BERNcash
(BERN)","0.000908
USD"
"DROXNE
(DRXNE)","0.001168
USD"
"Creditbit
(CRB)","0.004087
USD"
"PRiVCY
(PRIV)","0.011678
USD"
"Tao
(XTO)","0.267502
USD"
"Titcoin
(TIT)","0.002141
USD"
"Bitcoin Instant
(BTI)","0.001032
USD"
"Spectiv
(SIG)","0.003825
USD"
"TajCoin
(TAJ)","0.003343
USD"
"Sociall
(SCL)","0.077704
USD"
"Useless Ethereum Token
(UET)","0.013425
USD"
"Pakcoin
(PAK)","0.001838
USD"
"Synergy
(SNRG)","0.055148
USD"
"DraftCoin
(DFT)","0.020822
USD"
"FundRequest
(FND)","0.008580
USD"
"WavesGo
(WGO)","0.009942
USD"
"HEAT
(HEAT)","0.025363
USD"
"Prototanium
(PR)","0.631740
USD"
"HOdlcoin
(HODL)","0.001168
USD"
"UnbreakableCoin
(UNB)","0.109481
USD"
"Zeitcoin
(ZEIT)","0.000042
USD"
"The Cypherfunks
(FUNK)","0.000003
USD"
"SuperCoin
(SUPER)","0.016059
USD"
"Dinastycoin
(DCY)","0.000260
USD"
"SHADE Token
(SHADE)","0.000296
USD"
"DaTa eXchange
(DTX)","0.015831
USD"
"IQ.cash
(IQ)","0.069208
USD"
"Cream
(CRM)","0.004045
USD"
"SixEleven
(611)","0.169437
USD"
"PutinCoin
(PUT)","0.000260
USD"
"Megacoin
(MEC)","0.005385
USD"
"CarTaxi Token
(CTX)","0.004534
USD"
"Zennies
(ZENI)","0.000584
USD"
"Zephyr
(ZEPH)","0.009202
USD"
"Pascal Lite
(PASL)","0.011743
USD"
"Peerguess
(GUESS)","0.001753
USD"
"iTicoin
(ITI)","5.05
USD"
"BumbaCoin
(BUMBA)","0.001946
USD"
"C2C System
(C2C)","0.006034
USD"
"Bit20
(BTWTY)","205,406
USD"
"bitSilver
(BITSILVER)","14.17
USD"
"Trollcoin
(TROLL)","0.000693
USD"
"Carebit
(CARE)","0.000796
USD"
"BROTHER
(BRAT)","0.000250
USD"
"Lynx
(LYNX)","0.000009
USD"
"Version
(V)","0.000199
USD"
"OctoCoin
(888)","0.002518
USD"
"Photon
(PHO)","0.000020
USD"
"Soarcoin
(SOAR)","0.007396
USD"
"Shadow Token
(SHDW)","0.013292
USD"
"Steneum Coin
(STN)","0.019784
USD"
"Swing
(SWING)","0.017453
USD"
"Virtacoin
(VTA)","0.000010
USD"
"Ragnarok
(RAGNA)","0.005515
USD"
"LoMoCoin
(LMC)","0.005255
USD"
"BriaCoin
(BRIA)","0.300019
USD"
"Ethorse
(HORSE)","0.009797
USD"
"FNKOS
(FNKOS)","0.027635
USD"
"YoloCash
(YLC)","0.003743
USD"
"SmartCoin
(SMC)","0.004542
USD"
"Honey
(HONEY)","0.141146
USD"
"Darcrus
(DAR)","0.068335
USD"
"Pigeoncoin
(PGN)","0.000132
USD"
"KanadeCoin
(KNDC)","0.000068
USD"
"GenesisX
(XGS)","0.017744
USD"
"Vivid Coin
(VIVID)","0.046454
USD"
"Skeincoin
(SKC)","0.020113
USD"
"Bitcoin W Spectrum
(BWS)","0.001188
USD"
"TittieCoin
(TTC)","0.000195
USD"
"KUN
(KUN)","4.85
USD"
"Intelligent Trading Foundation
(ITT)","0.021102
USD"
"CrowdCoin
(CRC)","0.017261
USD"
"Tattoocoin (Standard Edition)
(TSE)","0.005061
USD"
"Kobocoin
(KOBO)","0.031459
USD"
"B3Coin
(KB3)","0.002095
USD"
"Darsek
(KED)","0.006142
USD"
"BTCtalkcoin
(TALK)","0.003090
USD"
"SounDAC
(XSD)","0.166159
USD"
"iBTC
(IBTC)","0.006838
USD"
"EquiTrader
(EQT)","0.051850
USD"
"Rubies
(RBIES)","0.017388
USD"
"Hedge
(HDG)","0.486413
USD"
"808Coin
(808)","2.8e-07
USD"
"PluraCoin
(PLURA)","0.000440
USD"
"ChessCoin
(CHESS)","0.002985
USD"
"ParallelCoin
(DUO)","0.224941
USD"
"MAZA
(MAZA)","0.000323
USD"
"bitBTC
(BITBTC)","6749.86
USD"
"EDRCoin
(EDRC)","0.090844
USD"
"Ixcoin
(IXC)","0.019140
USD"
"Eryllium
(ERY)","0.002990
USD"
"X-Coin
(XCO)","0.003633
USD"
"Arion
(ARION)","0.014067
USD"
"BlockCAT
(CAT)","0.092130
USD"
"Joincoin
(J)","0.029131
USD"
"GlobalBoost-Y
(BSTY)","0.003691
USD"
"Elementrem
(ELE)","0.008476
USD"
"Accelerator Network
(ACC)","0.169403
USD"
"FantasyGold
(FGC)","0.045725
USD"
"TeslaCoin
(TES)","0.013430
USD"
"MACRON
(MCRN)","0.000129
USD"
"Grid+
(GRID)","0.189876
USD"
"Ethbits
(ETBS)","0.778566
USD"
"Impact
(IMX)","0.000580
USD"
"BLAST
(BLAST)","0.003374
USD"
"INDINODE
(XIND)","0.000161
USD"
"Mainstream For The Underground
(MFTU)","0.000247
USD"
"Golfcoin
(GOLF)","0.000065
USD"
"TaaS
(TAAS)","0.454023
USD"
"Opus
(OPT)","0.006488
USD"
"ZoZoCoin
(ZZC)","0.070500
USD"
"EtherSportz
(ESZ)","0.054682
USD"
"RouletteToken
(RLT)","0.016025
USD"
"MarteXcoin
(MXT)","0.118850
USD"
"Bitcoin Red
(BTCRED)","0.005986
USD"
"VIVO
(VIVO)","0.047961
USD"
"Signatum
(SIGT)","0.000776
USD"
"CoinonatX
(XCXT)","0.003885
USD"
"Jury.Online Token
 (JOT)","0.049958
USD"
"Open Trading Network
(OTN)","0.379141
USD"
"Marscoin
(MARS)","0.004542
USD"
"Ratecoin
(XRA)","0.001683
USD"
"Coinsuper Ecosystem Network
(CEN)","0.016117
USD"
"BioCoin
(BIO)","0.000836
USD"
"Halcyon
(HAL)","0.022773
USD"
"NuShares
(NSR)","0.000065
USD"
"vSlice
(VSL)","0.007337
USD"
"Emerald Crypto
(EMD)","0.008434
USD"
"Helleniccoin
(HNC)","0.004996
USD"
"MaxCoin
(MAX)","0.024784
USD"
"SteepCoin
(STEEP)","0.000389
USD"
"PrimeStone
(PSC)","0.001488
USD"
"Altcoin
(ALT)","3.22
USD"
"Magnet
(MAG)","0.008362
USD"
"ZeusCrowdfunding
(ZEUS)","0.000001
USD"
"DigiPulse
(DGPT)","0.017305
USD"
"Havy
(HAVY)","0.000018
USD"
"ALIS
(ALIS)","0.045788
USD"
"Graphcoin
(GRPH)","0.015034
USD"
"Emphy
(EPY)","0.025310
USD"
"Dollarcoin
(DLC)","0.004931
USD"
"Centurion
(CNT)","0.001296
USD"
"FidentiaX
(FDX)","0.009805
USD"
"Coin2.1
(C2)","0.001174
USD"
"Influxcoin
(INFX)","0.033738
USD"
"Safe Trade Coin
(XSTC)","0.000195
USD"
"Bitcoin Fast
(BCF)","0.012522
USD"
"Neutron
(NTRN)","0.017424
USD"
"Astro
(ASTRO)","0.377501
USD"
"Bitcurrency
(BTCR)","0.001286
USD"
"Orbis Token
(OBT)","0.024935
USD"
"iCoin
(ICN)","0.003763
USD"
"RonPaulCoin
(RPC)","0.052034
USD"
"Earth Token
(EARTH)","0.000581
USD"
"Goodomy
(GOOD)","0.001430
USD"
"DeusCoin
(DEUS)","0.004670
USD"
"Bank Coin
(BANK)","0.022384
USD"
"ECC
(ECC)","0.000260
USD"
"Ourcoin
(OUR)","0.341205
USD"
"APX
(APX)","5.24
USD"
"SCRIV NETWORK
(SCRIV)","0.001038
USD"
"Aricoin
(ARI)","0.000584
USD"
"Masternodecoin
(MTNC)","0.002282
USD"
"Commodity Ad Network
(CDX)","0.008231
USD"
"Ccore
(CCO)","0.048726
USD"
"HireMatch
(HIRE)","0.011354
USD"
"Ethereum Cash
(ECASH)","0.009083
USD"
"Coin(O)
(CNO)","0.000714
USD"
"Moin
(MOIN)","0.030494
USD"
"TagCoin
(TAG)","0.052683
USD"
"PiplCoin
(PIPL)","0.005385
USD"
"GeyserCoin
(GSR)","0.058717
USD"
"Growers International
(GRWI)","0.246222
USD"
"InflationCoin
(IFLT)","0.000004
USD"
"Triangles
(TRI)","1.31
USD"
"Hackspace Capital
(HAC)","0.002336
USD"
"Cryptonite
(XCN)","0.000817
USD"
"Bitcoin 21
(XBTC21)","0.087978
USD"
"ConnectJob
(CJT)","0.001294
USD"
"Rivetz
(RVT)","0.079178
USD"
"Grimcoin
(GRIM)","0.000488
USD"
"STRAKS
(STAK)","0.043615
USD"
"Guncoin
(GUN)","0.000853
USD"
"IXTUS Edutainment
(IXE)","0.034193
USD"
"Sense
(SENSE)","0.007004
USD"
"Granite
(GRN)","0.001092
USD"
"Arepacoin
(AREPA)","0.003685
USD"
"Bionic
(BNC0)","0.000171
USD"
"TokenDesk
(TDS)","0.007646
USD"
"REAL
(REAL)","0.149935
USD"
"Fidelium
(FID)","0.009942
USD"
"Bitstar
(BITS)","0.011030
USD"
"ParkByte
(PKB)","0.012976
USD"
"Elcoin
(EL)","0.018361
USD"
"Bridge Protocol
(TOLL)","0.002096
USD"
"Kind Ads Token
(KIND)","0.019340
USD"
"FuzzBalls
(FUZZ)","0.006877
USD"
